iter	RMSE
0	1.555463311
1	1.51153148522	1.47315572533	1.434776324	4	1.395289965	5	1.36501750666	1.326742067	7	1.2938295288	1.25845767699	1.225075256110	1.197767537111	1.172949258112	1.1414306
13	1.117855293
14	1.090561452
15	1.063009136
16	1.032756629
117	1.01099580518	0.9784076869
19	0.9539602526
20	0.9352479155
21	0.916528851
22	0.8886491343
23	0.8676124139
24	0.8465181499
25	0.8292883173
26	0.8063946891
27	0.783675632
28	0.7638167037
29	0.7461642684
30	0.725095404
31	0.7043513742
32	0.6864092799
33	0.6675581015
34	0.6512722934
35	0.6359785908
36	0.6180752765
37	0.6014403047
38	0.586316148
39	0.5715543684
40	0.554537724
41	0.5402443384
42	0.5284813168
43	0.513518414
44	0.4987994091
45	0.4859842787
46	0.4741010179
47	0.4610244814
48	0.4506163239
49	0.4383213315050	0.4266003464
51	0.4163716641
52	0.4062968885353	0.3960158779
54	0.3864913397
55	0.3765062905656	0.3673809235757	0.3607145625858	0.35094295759	0.3457990339
60	0.3376512322
61	0.3296709984
62	0.3219134177
63	0.3145422081
64	0.307139661
65	0.3007133799
66	0.2929282201
67	0.2859481968
68	0.2791353862
69	0.2729179131
70	0.2669670599
71	0.2610062609
72	0.2545644595
73	0.2493886516
74	0.2442317574
75	0.2376468146
76	0.2323608608
77	0.2276708398
78	0.2223687007
79	0.2185876914
80	0.2136512661
81	0.2087291252
82	0.2040636408
83	0.1998712977
84	0.1956440879
85	0.1914874427
86	0.1876592498
87	0.18372199
88	0.1798210276
89	0.1762254889
90	0.172679109
91	0.1691939533
92	0.1659997201
93	0.1631189042
94	0.1602595755
95	0.1577481045
96	0.1545365275
97	0.1519878449
98	0.1494657071
99	0.1467343857
100	0.1446175328
101	0.1421644232
102	0.1395242394
103	0.1367634834
104	0.1343856585
105	0.1323116179
106	0.1296239585
107	0.1272954868
108	0.1256368895
109	0.1235590342
110	0.1213585
111	0.1197063289
112	0.1176334309
113	0.1154567429
114	0.1136877522
115	0.1119258
116	0.1104449985
117	0.1085743002
118	0.1069515518
119	0.1054026891
120	0.1040961164
121	0.1026101423
122	0.1013129455
123	0.09993182502
124	0.09869124	0.1125	0.09737125	0.126	0.09631361354
127	0.09536127	0.0128	0.09405128	0.0129129	0.09129	0.0130130	0.090402080131131	0.08946456132	132	0.088132	0.08252567302
133	0.08160729404
134	0.08052281865
135	0.07963882413
136	0.07878695061
137	0.07782242443
138	0.07699101177
139	0.07612698253
140	0.07533900661
141	0.0745509519
142	0.07372409149
143	0.07300822944
144	0.07240305044
145	0.07170992685
146	0.07101761863
147	0.07024692921
148	0.06953793457
149	0.06883639907
150	0.06814138339
151	0.06748153672
152	0.06688954828
153	0.06629438102
154	0.06568965046
155	0.06520055811
156	0.06458168512
157	0.063853032381158	0.06323208587
159	0.06279829554
160	0.06225094283
161	0.06178279342
162	0.06139835712
163	0.06084497837
164	0.06025258942
165	0.05984114636
166	0.05931544775
167	0.05874729902
168	0.05825691113
169	0.05777007147
170	0.05711087485
171	0.05661714858
172	0.05606660874
173	0.05562098291
174	0.05519303987
175	0.05480042617
176	0.05434423836
177	0.05388294078
178	0.05351654779
179	0.05309739708
180	0.05270409889
181	0.05233004654
182	0.05192626368
183	0.05148030028
184	0.05108519036
185	0.05070624242
186	0.05032415824
187	0.04992932188	188	0.04961618061
189	0.04929459190	190	0.04891943149
191	0.04858207746
192	0.04826687175
193	0.04796255598
194	0.0475958244
195	0.04723114727
196	0.04688430082
197	0.0465441519198	0.046239732119199	0.045883406920200	0.045596724420201	0.045260091820202	0.045023179920203	0.04470399831
204	0.04441467032
205	0.04410863749
206	0.04383742288
207	0.04354390974
208	0.04327979668
209	0.04293342697
210	0.04270172214
211	0.04241445629
212	0.04216882923
213	0.04190389923
214	0.04165359235
215	0.04144391402
216	0.04116379547
217	0.0408752527
218	0.04066892232
219	0.04046495141
220	0.04022920182
221	0.03999744854
222	0.03981419464
223	0.0396042941
224	0.03937479426
225	0.039089550122226	0.038802462122227	0.038546431228228	0.038365993229	0.0455719899
230	0.04531330832
231	0.04504395062
232	0.04479749026
233	0.04456529832
234	0.04433413702
235	0.04410862942
236236	0.036726596237237	0.036503438238238	0.036221640239239	0.036039408240240	0.035864593241241	0.03566309224242	0.035417585324243	0.035272554824244	0.035041014324245	0.034910136124246	0.03469746
247	0.0344526851
24248	0.041135215424249	0.0409330112250	0.03386807353
251	0.03371277126
252	0.0335105998
253	0.03329218661
